,source,target,edge
4740,two Pauli exclusion electrons,four quantum numbers,have
4741,two  arrows,paired  spins,means
4742,1 diagramof shell,completely helium atom,are
4743,next  atom,atomic metal 3,is
4744,first  twoelectrons,two quantum helium,fill
4745,remaining  electron,nextlowest  energy,occupy
4746,orbital diagram atom,four earth metal nucleus,contains
4747,,remaining 2s orbital,electronfills
4748,atom,five  electrons,contains
4749,three  electrons,2  shell,is filledwith
4750,next  which,next  energylevel,occupy
4751,equal 2p electron,p orbitals,are
4752,When  we,same subshell thatwe,include empty
4753,Carbon,six  electrons,has
4754,Four,1s  orbitals,fill
4755,Theremaining,two 2p subshell,occupy
4756,We,p 2p orbitals,have
4757,orbitals,unpaired energy electrons,filled
4758,thelowest energy configuration,unpaired  electrons,is
4759,two carbon 2p orbitals,ml Pauli exclusionprinciple,electronsin
4760,electron configuration,unpaired energy electrons,are
4761,atomic  number,three Hunds rule,fills
4762,three  electrons,spins,haveunpaired
4763,atomic number electrons,single  othertwo,have opposite
4764,2  shells,n,paired
4765,four  you,theorbital electron diagrams,are
4766,,Commons Attribution 4.0License,Adapted from
4767,,,Download for free
4768,inclusive oxidation number definition,redox reaction,established
4769,one oxidation elements,oxidation number,are
4770,interesting oxidation exceptions,rule,exist
4771,reactant oxidation they,now redox processes,identified
4772,oxidation number,NaCl,oxidized
4773,oxidation number,HCl,decreases from
4774,Several  subclasses,replacement redox reactions,recognized
4775,redox  ion,metallic  element,are redox
4776,other metal reaction,dissolved silver salt,observed by
4777,Cu2 + ions,blue  color,reduced to elemental
4778,molecular  oxygen,often  flame,are redox
4779,combustion,methane gas,is
4780,when  hydrocarbon,hydrocarbon air,are
4781,carbon dioxide,reaction,are
4782,you,when gas grill,is
4783,it,equation,reacting with
4784,,4.0 Creative Commons License,Adapted from
4785,,,Download for free
4786,dependence,solubility graph,shown by
4787,Reviewing,ionic compound cerium sulfate,indicate
4788,temperature dependence,certain  compounds,exploited
4789,where  solute,lower  solute,saturated with
4790,i.e. equilibrium it,lower equilibrium temperature,contains
4791,Precipitation,mechanically seed solution,initiated by
4792,hand warmers,such  behavior,take
4793,,4.0 Creative Commons License,Adapted from
4794,,,Download for free
4795,ideal gas law,gaseous  substances,used
4796,Appropriate  rearrangement,ideal gas densities,made
4797,Daltons law,gaseous gas compositions,used
4798,Avogadros law,gaseous chemical reactants,used in stoichiometric
4799,you,instructor,evaluate
4800,questions,material,be for
4801,self evaluation,also  class,shape
4802,responses,instructor,graded
4803,,4.0 Creative Commons License,Adapted from
4804,,,Download for free
4805,balanced chemical equation,reactions reactants,used
4806,stoichiometric  that,reactant  masses,used
4807,less  amount,limiting  reactant,determined by
4808,amount,chemical reaction,is
4809,yield,balanced chemical reaction,is
4810,theoretical  amount,percent yield,expressed as
4811,stoichiometry,quantitative chemical analysis methods,serve as
4812,Titrations,completely sample solution,involve
4813,volume,then titration reaction,used
4814,you,instructor,evaluate
4815,questions,material,be for
4816,self evaluation,also  class,shape
4817,responses,instructor,graded
4818,,Creative Commons Creative Attribution,Adapted from
4819,,,Download for free
4820,following  series,real world scenario,incorporates
4821,Danielle,chemistry lab,is
4822,following  she,upcoming  lab,given
4823,concentrated  HCl,real world scenarios,concentrated
4824,Decompression sickness,considerable scuba depths,is
4825,divers,10  depth,subjected to additional
4826,that,joint  paralysis,form
4827,several  decompression,given  ascent,ascend from
4828,therefore  it,diet,is
4829,fat  others,,are fat
4830,following  vitamins,structure,determine
4831,,4.0 Creative Commons License,Adapted from
4832,,,Download for free
4833,Solutions,,are homogeneous
4834,other  components,one  which,contain
4835,solvent,which,is
4836,concentration,given  solution,is
4837,useful  unit,solution,measured
4838,process,dilution,decreased by
4839,dilution equation,simple  dilution,is
4840,number,various solution concentration applications,used
4841,lower  concentrations,ppm  units,are useful
4842,based  units,such  molarity,are popular
4843,instructor,that,evaluate
4844,questions,material,be for
4845,self evaluation,also  class,shape
4846,responses,instructor,graded
4847,,4.0 Creative Commons License,Adapted from
4848,,,Download for free
4849,that,only solute particles,called colligative
4850,They,boiling solution,include
4851,magnitudes,total solute particles,depend
4852,total  concentration,osmotic solute pressure,determines
4853,that,semipermeable  solution,is
4854,colligative  effects,completely activity effects,dissociate in
4855,instructor,that,evaluate
4856,questions,material,be for
4857,self evaluation,also  class,shape
4858,responses,instructor,graded
4859,,4.0 Creative Commons License,Adapted from
4860,,,Download for free
4861,Conversions,derived  units,required for
4862,Here  we,derived  units,look at
4863,density,common  mL,is
4864,4.00qt sample,9.26  lb,weighs
4865,we,mL.,convert
4866,necessary conversion factors,= 453.59 g,are
4867,one  We,two  milliliters,use
4868,,Then density equation,using
4869,that,4.0 Creative Commons License,set
4870,,,Download for free
4871,atomic  elements,same chemical properties,arranges
4872,below  we,outer electron elements,see
4873,outer valence electrons,chemical  reactions,play
4874,outer  electrons,easily core electrons,have
4875,Valence electrons,physical  elements,are
4876,well chemical idea,atomic  structure,is important
4877,atoms,same valence group,understand
4878,arrangement,periodic  table,emphasized in
4879,halogens fluorine,seven valence electrons,have
4880,same  they,same valence electrons,occurs
4881,how  elements,valence electrons,is
4882,periodic  table,three  orbitals,divided into
4883,orbitals,highest energy level atom,determine
4884,last  electron,periodic  table,are
4885,category,many  metals,includes
4886,valence electrons,highest n level,are
4887,[ electron which,three valence electrons,Ar]4s23d104p1
4888,filled d orbitals,core,count as
4889,Gallium,periodic  table,is in
4890,3 valence all,3 valence electrons,have
4891,periodic  table,main group elements,indicates
4892,last transition electron,d orbital,are metallic
4893,valence those,n d electrons,electrons
4894,last  electron,f orbital,are metallic
4895,valence shells,n transition 2)f,consist of
4896,even  they,f electrons,are
4897,periodic  table,powerful electron element,be
4898,aufbau we,aufbau principle,find
4899,29 transition metals we,29 transition metals others,are
4900,small  effects,order,involve
4901,completely  subshells,preferred  stability,find
4902,stability,filled 3d Cu,is such
4903,Other  exceptions,,occur
4904,where  magnitude,small  subshells,is
4905,,Creative Commons Attribution,Adapted from
4906,,,Download for free
4907,electronic  structures,monatomic Lewis molecules,visualized by
4908,where valence electrons,Lewis structure,used
4909,second octet atom,eight  electrons,elementsobey
4910,Exceptions,deficient electron molecules,occur for odd
4911,one  half,atom,assigned to
4912,formal  charges,appropriate Lewis structure,are
4913,formal  charges,as  zero,structure in
4914,two  structures,different  electrons,occurs in
4915,actual  distribution,individual Lewis structures,is
4916,bond dissociation that,particular  molecules,measured by
4917,Multiple  bonds,same  atoms,are stronger
4918,new  bonds,energy bonds,estimated based
4919,instructor,that,evaluate
4920,questions,material,be for
4921,self evaluation,also  class,shape
4922,responses,instructor,graded
4923,,Creative Commons Attribution,Adapted from
4924,,,Download for free
4925,total  number,negative  anions,equals
4926,even  they,positive  ions,are
4927,us,ionic  compound,use
4928,such  numbers,positive  charges,have
4929,,monatomic compoundIonic cation,compound
4930,,atom  cation,consists of
4931,ending,monatomic  -ide,Note
4932,sulfide,phosphorus,is
4933,,monatomic  cation,compound
4934,,chemical potassium sulfide,Write
4935,potassium,2-  diagrams,see
4936,,1 sulfur ion,combine with
4937,convenient  method,criss cross criss method,is by
4938,chemical  value,chemical  formula,becomes
4939,criss cross method,previous  example,see
4940,K2S.,previous  method,is
4941,criss cross ratio,whole number ratio,is
4942,,chemical magnesium oxide,Write
4943,you,compound,Notice
4944,,compound,Name
4945,far  cation,one  ion,form
4946,it,ion,is
4947,However  some,different transition ions,form different
4948,lead,ion Pb2,form
4949,result,chlorine,be
4950,compound,Pb2,write
4951,We,roman  numerals,do
4952,roman  numeral,formula,indicates
4953,transition metals,multiple  cations,Note
4954,Here  list,most  common,is
4955,following  metals,same  ion,is
4956,Silver,,forms
4957,Cadmium,always  Cd2,forms
4958,Zinc,always  Zn2,forms
4959,Gallium,always  +,forms
4960,Aluminum,,forms
4961,,4.0 Creative Commons License,Adapted from
4962,,,Download for free
4963,you,independently gas other,learned about
4964,you,gas law problem,is
4965,,particular  problem,Pay particular
4966,it,calculation,means
4967,first gas law,unknown  variable,determine
4968,,4.0 Creative Commons License,Adapted from
4969,,,Download for free
4970,water,gasoline,observe
4971,syrup  oil,car engine,note
4972,viscosity,resistance,is
4973,other  that,low  viscosity,have
4974,other motor that,higher  viscosities,have
4975,viscous  liquids,narrow  tube,falls
4976,temperature,molecules,determine
4977,viscosity,liquid,is
4978,that,thus liquid decreases,move
4979,various  IMFs,identical cohesive forces,are
4980,molecules,cohesive  liquid,surrounded by other
4981,However  molecules,many  molecules,attracted
4982,that,minimum surface area,is
4983,below  ratio,surface minimum,tends
4984,Surface tension,given surface amount,defined as
4985,surface,stretched rubber membrane,results from
4986,Surface tensions,several  table,presented
4987,common  water,strong hydrogen molecules,exhibits
4988,ctough  that,considerable  force,represents
4989,carefully  placed,water,float
4990,they,surface tension,move on
4991,IMFs,different  molecules,called
4992,glass,tube,has
4993,other cohesive forces,adhesive mercury mercury,are
4994,when cohesive forces,drop,wet
4995,spilled paper liquid,paper towel,wicks
4996,when  you,shower,occurs in
4997,liquid,liquid  molecules,are
4998,adhesive  forces,upward cohesive gravity,be strong
4999,that,water molecules,soak
5000,paper towels,generally paper pulp,made of
5001,long  that,many OH groups,consist of long
5002,hydrogen which,cellulose molecules,attracted to
5003,large  amounts,cellulose fibers,drawn
5004,one  end,small diameter liquid,occur
5005,weight,adhesive  balance,creeps
5006,the  higher,tube,is
5007,,4.0 Creative Commons License,Adapted from
5008,,,Download for free
5009,physically  that,molecular  level,forms
5010,solvent,physical  solution,is
5011,solutes,present  solvent,are
5012,Solutions,attractive  forces,form
5013,Ideal  solutions,appreciable  energy,form with
5014,that,ions,called
5015,ionic  that,constituent cations,be covalent
5016,Dissolution,ionic ion dipole compound,facilitated by
5017,weak  acids,small  extent,ionize
5018,that,when  water,are
5019,attractive  that,substances atoms,determined by several
5020,tendency,specified substances conditions,quantified as
5021,saturated  solution,equal  solubility,contains
5022,when solubilitya solution,solute solubilitya precipitation,is
5023,immiscible  liquids,mutual  solubility,are soluble
5024,increasing  those,solid  temperature,decrease with
5025,partial  solution,Henrys law,is proportional
5026,instructor,that,evaluate
5027,questions,material,be for
5028,self evaluation,also  class,shape
5029,responses,instructor,graded
5030,,4.0 Creative Commons License,Adapted from
5031,,,Download for free
5032,,,Chemistry
5033,,Shuttle Discovery,Perchlorate
5034,,,N.p
5035,,,Web
5036,,,Aug.
5037,behavior,experimental  properties,described by several
5038,absolute  volume,Gay law,is
5039,volume,constant gas pressure,is
5040,when  temperature,inversely  pressure,is
5041,equal  volumes,same  molecules,contain
5042,kelvin R,gas,is
5043,instructor,that,evaluate
5044,questions,material,be for
5045,self evaluation,also  class,shape
5046,responses,instructor,graded
5047,,Creative Commons Attribution,Adapted from
5048,,,Download for free
5049,physical  properties,molecular  theory,explained in
5050,attractive  they,sufficient  other,hold
